iter	Passed	Remaining
401	19992	29739
402	20044	29693
403	20100	29653
404	20167	29628
405	20235	29605
406	20288	29559
407	20343	29517
408	20400	29479
409	20451	29430
410	20506	29387
411	20567	29354
412	20628	29320
413	20686	29280
414	20740	29237
415	20797	29197
416	20848	29148
417	20901	29102
418	20960	29064
419	21009	29012
420	21063	28968
421	21110	28913
422	21164	28869
423	21214	28820
424	21271	28778
425	21326	28735
426	21355	28657
427	21410	28614
428	21464	28569
429	21512	28515
430	21562	28466
431	21613	28418
432	21667	28373
433	21717	28322
434	21781	28291
435	21837	28248
436	21894	28207
437	21941	28153
438	22000	28114
439	22055	28070
440	22108	28023
441	22166	27983
442	22227	27947
443	22275	27894
444	22316	27833
445	22369	27786
446	22420	27737
447	22474	27691
448	22525	27642
449	22580	27598
450	22635	27553
451	22689	27508
452	22743	27462
453	22795	27414
454	22848	27367
455	22906	27326
456	22956	27276
457	23006	27226
458	23062	27183
459	23122	27143
460	23176	27097
461	23228	27049
462	23283	27004
463	23336	26957
464	23383	26903
465	23437	26857
466	23498	26819
467	23552	26773
468	23593	26712
469	23643	26661
470	23703	26621
471	23760	26580
472	23805	26522
473	23857	26475
474	23917	26435
475	23974	26391
476	24036	26354
477	24079	26296
478	24132	26248
479	24177	26191
480	24233	26148
481	24289	26103
482	24345	26059
483	24395	26008
484	24448	25961
485	24494	25905
486	24544	25855
487	24597	25807
488	24654	25763
489	24708	25717
490	24764	25672
491	24823	25630
492	24881	25587
493	24936	25541
494	24980	25485
495	25028	25432
496	25056	25358
497	25100	25302
498	25158	25259
499	25211	25211
500	25269	25168
501	25316	25114
502	25357	25054
503	25405	25002
504	25458	24953
505	25502	24897
506	25550	24844
507	25604	24797
508	25651	24744
509	25708	24699
510	25755	24646
511	25818	24608
512	25872	24561
513	25917	24505
514	25972	24459
515	26028	24414
516	26087	24371
517	26138	24322
518	26191	24273
519	26227	24209
520	26279	24161
521	26337	24117
522	26391	24070
523	26441	24019
524	26498	23975
525	26558	23932
526	26607	23881
527	26654	23827
528	26714	23785
529	26753	23724
530	26805	23675
531	26854	23623
532	26899	23568
533	26947	23516
534	27001	23468
535	27050	23416
536	27103	23368
537	27143	23309
538	27205	23268
539	27248	23211
540	27307	23168
541	27356	23116
542	27409	23068
543	27470	23026
544	27522	22977
545	27583	22935
546	27633	22884
547	27686	22836
548	27747	22794
549	27791	22738
550	27845	22691
551	27883	22630
552	27936	22581
553	27990	22533
554	28039	22482
555	28084	22427
556	28139	22380
557	28195	22334
558	28256	22291
559	28304	22239
560	28352	22186
561	28409	22141
562	28468	22097
563	28526	22052
564	28588	22010
565	28638	21959
566	28677	21899
567	28724	21847
568	28784	21803
569	28828	21747
570	28858	21681
571	28903	21627
572	28953	21576
573	29014	21533
574	29062	21481
575	29123	21438
576	29176	21389
577	29233	21343
578	29286	21294
579	29331	21240
580	29385	21192
581	29434	21140
582	29486	21090
583	29545	21046
584	29588	20990
585	29648	20946
586	29699	20896
587	29737	20836
588	29784	20783
589	29835	20732
590	29886	20683
591	29944	20637
592	30010	20597
593	30059	20545
594	30119	20501
595	30180	20457
596	30238	20412
597	30290	20362
598	30342	20312
599	30398	20265
600	30441	20210
601	30493	20160
602	30546	20110
603	30606	20066
604	30684	20033
605	30743	19988
606	30801	19942
607	30852	19892
608	30903	19841
609	30958	19792
610	31007	19741
611	31059	19691
612	31116	19644
613	31169	19595
614	31230	19550
615	31285	19502
616	31337	19452
617	31388	19402
618	31453	19359
619	31506	19310
620	31565	19264
621	31625	19219
622	31765	19222
623	31896	19219
624	31962	19177
625	32011	19125
626	32067	19076
627	32119	19026
628	32169	18974
629	32230	18928
630	32283	18878
631	32334	18827
632	32389	18778
633	32441	18728
634	32492	18676
635	32545	18626
636	32603	18579
637	32711	18560
638	32810	18536
639	32866	18487
640	32905	18429
641	32968	18384
642	33025	18336
643	33090	18292
644	33139	18239
645	33194	18189
646	33249	18140
647	33303	18090
648	33354	18039
649	33401	17985
650	33447	17931
651	33497	17879
652	33558	17832
653	33618	17786
654	33665	17732
655	33724	17684
656	33789	17640
657	33846	17592
658	33917	17550
659	33963	17496
660	34022	17448
661	34076	17398
662	34130	17348
663	34185	17298
664	34240	17248
665	34306	17204
666	34370	17159
667	34422	17108
668	34471	17055
669	34518	17001
670	34574	16952
671	34691	16932
672	34818	16917
673	34946	16902
674	35036	16869
675	35128	16836
676	35273	16829
677	35385	16805
678	35446	16757
679	35521	16715
680	35578	16665
681	35632	16614
682	35677	16558
683	35729	16506
684	35786	16456
685	35831	16401
686	35889	16351
687	35914	16286
688	35972	16237
689	36019	16182
690	36080	16134
691	36131	16081
692	36189	16031
693	36250	15983
694	36298	15929
695	36358	15880
696	36410	15828
697	36466	15777
698	36521	15726
699	36612	15690
700	36729	15666
701	36865	15649
702	36999	15631
703	37084	15592
704	37149	15544
705	37217	15498
706	37270	15445
707	37380	15416
708	37441	15367
709	37554	15339
710	37691	15320
711	37816	15296
712	37926	15266
713	37977	15212
714	38029	15158
715	38089	15108
716	38155	15059
717	38289	15038
718	38385	15001
719	38446	14951
720	38510	14902
721	38566	14849
722	38610	14792
723	38664	14739
724	38719	14686
725	38774	14634
726	38835	14583
727	38881	14527
728	38939	14475
729	38993	14422
730	39055	14371
731	39109	14318
732	39158	14263
733	39207	14208
734	39249	14151
735	39293	14094
