close,date,high,id,low,open,ticker,volume
1.13401,2018-12-05 04:24:00,1.13403,19703898,1.1338,1.134,EURUSD,100
1.13385,2018-12-05 04:25:00,1.134,19703934,1.1338,1.13399,EURUSD,118
1.13384,2018-12-05 04:26:00,1.13394,19703958,1.1337,1.13388,EURUSD,63
1.13383,2018-12-05 04:27:00,1.13394,19703987,1.1337,1.13383,EURUSD,51
1.1337,2018-12-05 04:28:00,1.1339,19704015,1.1336,1.1339,EURUSD,32
1.13383,2018-12-05 04:29:00,1.1339,19704020,1.1336,1.13382,EURUSD,35
1.1339,2018-12-05 04:30:00,1.13394,19704064,1.1337,1.13384,EURUSD,91
1.13412,2018-12-05 04:31:00,1.13412,19704086,1.1338,1.1339,EURUSD,166
1.1341,2018-12-05 04:32:00,1.13419,19704119,1.13397,1.1341,EURUSD,100
1.134,2018-12-05 04:33:00,1.13409,19704141,1.1338,1.13409,EURUSD,89
1.134,2018-12-05 04:34:00,1.13407,19704178,1.1338,1.13396,EURUSD,76
1.13417,2018-12-05 04:35:00,1.13421,19704208,1.1339,1.13408,EURUSD,98
1.13424,2018-12-05 04:36:00,1.13436,19704226,1.134,1.13418,EURUSD,121
1.13428,2018-12-05 04:37:00,1.13436,19704255,1.1341,1.1342,EURUSD,100
1.13438,2018-12-05 04:38:00,1.1344,19704287,1.1341,1.1342,EURUSD,77
1.13414,2018-12-05 04:39:00,1.1344,19704316,1.134,1.13436,EURUSD,87
1.13392,2018-12-05 04:40:00,1.13429,19704342,1.13381,1.13412,EURUSD,120
1.13399,2018-12-05 04:41:00,1.13407,19704349,1.1338,1.13391,EURUSD,120
1.13387,2018-12-05 04:42:00,1.13403,19704396,1.1337,1.13398,EURUSD,99
1.13399,2018-12-05 04:43:00,1.13406,19704415,1.1337,1.13385,EURUSD,93
1.13398,2018-12-05 04:44:00,1.13402,19704449,1.1338,1.134,EURUSD,53
1.1337,2018-12-05 04:45:00,1.13402,19704464,1.1337,1.13398,EURUSD,126
1.13386,2018-12-05 04:46:00,1.134,19704492,1.1337,1.13394,EURUSD,97
1.13381,2018-12-05 04:47:00,1.1339,19704520,1.1336,1.13384,EURUSD,87
1.13371,2018-12-05 04:48:00,1.13388,19704556,1.1336,1.1336,EURUSD,95
1.13373,2018-12-05 04:49:00,1.13374,19704577,1.1335,1.13372,EURUSD,68
1.13357,2018-12-05 04:50:00,1.13372,19704596,1.1335,1.1337,EURUSD,65
1.13331,2018-12-05 04:51:00,1.1337,19704635,1.13325,1.13356,EURUSD,139
1.13334,2018-12-05 04:52:00,1.13351,19704662,1.1332,1.13331,EURUSD,90
1.1335,2018-12-05 04:53:00,1.13354,19704687,1.1332,1.13334,EURUSD,107
1.13351,2018-12-05 04:54:00,1.13365,19704719,1.1333,1.1335,EURUSD,88
1.13357,2018-12-05 04:55:00,1.1337,19704747,1.1334,1.13352,EURUSD,113
1.13371,2018-12-05 04:56:00,1.13371,19704765,1.1335,1.13355,EURUSD,98
1.13389,2018-12-05 04:57:00,1.1339,19704795,1.1336,1.13368,EURUSD,85
1.13403,2018-12-05 04:58:00,1.13405,19704823,1.1336,1.13388,EURUSD,111
1.1339,2018-12-05 04:59:00,1.13411,19704855,1.1338,1.1341,EURUSD,95
1.13371,2018-12-05 05:00:00,1.13408,19704881,1.1336,1.13391,EURUSD,90
1.1337,2018-12-05 05:01:00,1.13384,19704900,1.1336,1.13373,EURUSD,95
1.13407,2018-12-05 05:02:00,1.13418,19704922,1.1336,1.1336,EURUSD,128
1.13422,2018-12-05 05:03:00,1.13426,19704942,1.13388,1.1341,EURUSD,115
1.13422,2018-12-05 05:04:00,1.1343,19704990,1.134,1.13424,EURUSD,84
1.13422,2018-12-05 05:05:00,1.1343,19705014,1.1341,1.1343,EURUSD,56
1.13438,2018-12-05 05:06:00,1.13444,19705035,1.1341,1.13423,EURUSD,92
1.13408,2018-12-05 05:07:00,1.1344,19705062,1.134,1.13438,EURUSD,83
1.13402,2018-12-05 05:08:00,1.13435,19705098,1.1339,1.13409,EURUSD,75
1.13403,2018-12-05 05:09:00,1.1341,19705124,1.1338,1.13405,EURUSD,70
1.1342,2018-12-05 05:10:00,1.13444,19705152,1.1339,1.13403,EURUSD,119
1.13439,2018-12-05 05:11:00,1.13442,19705179,1.1341,1.1343,EURUSD,85
1.1345,2018-12-05 05:12:00,1.13453,19705198,1.1342,1.1344,EURUSD,92
1.1341,2018-12-05 05:13:00,1.13448,19705221,1.1341,1.13448,EURUSD,104
1.1342,2018-12-05 05:14:00,1.13444,19705257,1.134,1.13418,EURUSD,75
1.13428,2018-12-05 05:15:00,1.13443,19705283,1.1342,1.13441,EURUSD,80
1.1343,2018-12-05 05:16:00,1.1344,19705311,1.1341,1.1342,EURUSD,62
1.1342,2018-12-05 05:17:00,1.1344,19705341,1.13414,1.13437,EURUSD,101
1.13403,2018-12-05 05:18:00,1.13435,19705366,1.1339,1.13421,EURUSD,113
1.13398,2018-12-05 05:19:00,1.1341,19705379,1.1339,1.13404,EURUSD,91
1.13388,2018-12-05 05:20:00,1.13408,19705416,1.1337,1.13398,EURUSD,75
1.1338,2018-12-05 05:21:00,1.13394,19705444,1.1337,1.13387,EURUSD,98
1.13386,2018-12-05 05:22:00,1.1339,19705473,1.1336,1.13381,EURUSD,68
1.13379,2018-12-05 05:23:00,1.13387,19705498,1.1337,1.1338,EURUSD,84
1.1338,2018-12-05 05:24:00,1.13387,19705523,1.1336,1.13379,EURUSD,83
1.1337,2018-12-05 05:25:00,1.13388,19705546,1.1335,1.1338,EURUSD,70
1.13384,2018-12-05 05:26:00,1.13387,19705580,1.1336,1.13371,EURUSD,86
1.13376,2018-12-05 05:27:00,1.1339,19705605,1.1336,1.13384,EURUSD,46
1.1336,2018-12-05 05:28:00,1.1338,19705631,1.1336,1.13376,EURUSD,45
1.13377,2018-12-05 05:29:00,1.13383,19705657,1.1336,1.13376,EURUSD,44
1.13379,2018-12-05 05:30:00,1.13383,19705692,1.1336,1.13376,EURUSD,56
1.13381,2018-12-05 05:31:00,1.1339,19705709,1.1336,1.1338,EURUSD,58
1.13375,2018-12-05 05:32:00,1.1339,19705743,1.1336,1.1338,EURUSD,56
1.13377,2018-12-05 05:33:00,1.1339,19705762,1.1336,1.13381,EURUSD,67
1.13365,2018-12-05 05:34:00,1.13378,19705800,1.1335,1.13372,EURUSD,89
1.13367,2018-12-05 05:35:00,1.13373,19705820,1.1335,1.13366,EURUSD,64
1.13367,2018-12-05 05:36:00,1.1338,19705849,1.1335,1.1336,EURUSD,62
1.13372,2018-12-05 05:37:00,1.13372,19705874,1.1335,1.13368,EURUSD,59
1.1337,2018-12-05 05:38:00,1.13373,19705902,1.1335,1.13371,EURUSD,78
1.1337,2018-12-05 05:39:00,1.1337,19705923,1.1334,1.13367,EURUSD,41
1.1337,2018-12-05 05:40:00,1.13371,19705959,1.1335,1.13369,EURUSD,53
1.13352,2018-12-05 05:41:00,1.1337,19705980,1.1334,1.13368,EURUSD,63
1.13369,2018-12-05 05:42:00,1.1337,19706007,1.1335,1.1335,EURUSD,82
1.1337,2018-12-05 05:43:00,1.13374,19706034,1.1335,1.13367,EURUSD,68
1.13378,2018-12-05 05:44:00,1.1339,19706061,1.1336,1.13375,EURUSD,72
1.13385,2018-12-05 05:45:00,1.13393,19706083,1.1337,1.13379,EURUSD,75
1.13381,2018-12-05 05:46:00,1.1339,19706118,1.1336,1.13388,EURUSD,86
1.13382,2018-12-05 05:47:00,1.13392,19706151,1.1337,1.13381,EURUSD,69
1.13382,2018-12-05 05:48:00,1.13386,19706178,1.1336,1.13384,EURUSD,67
1.1338,2018-12-05 05:49:00,1.13385,19706206,1.13359,1.1338,EURUSD,51
1.13363,2018-12-05 05:50:00,1.1338,19706227,1.1335,1.1336,EURUSD,94
1.13362,2018-12-05 05:51:00,1.13373,19706252,1.1335,1.13361,EURUSD,63
1.1333,2018-12-05 05:52:00,1.1337,19706285,1.1333,1.1336,EURUSD,82
1.13347,2018-12-05 05:53:00,1.13364,19706301,1.1333,1.13348,EURUSD,76
1.13351,2018-12-05 05:54:00,1.13355,19706339,1.1333,1.13348,EURUSD,68
1.1335,2018-12-05 05:55:00,1.13363,19706362,1.1333,1.1333,EURUSD,76
1.1337,2018-12-05 05:56:00,1.13372,19706383,1.1335,1.1336,EURUSD,52
1.13378,2018-12-05 05:57:00,1.13389,19706410,1.1335,1.13371,EURUSD,59
1.134,2018-12-05 05:58:00,1.134,19706443,1.1336,1.13378,EURUSD,104
1.13404,2018-12-05 05:59:00,1.13404,19706467,1.1337,1.13396,EURUSD,101
1.13426,2018-12-05 06:00:00,1.1343,19706489,1.1339,1.134,EURUSD,170
1.13415,2018-12-05 06:01:00,1.13434,19706527,1.134,1.1343,EURUSD,199
